source,source_entry,date_day,date_month,date_year,actor_id,actor_first_name,actor_surname,wikidata_name,place_of_birth,position_held,occupation,sex_or_gender,country_of_citizenship,wikidata_uri,role,role_en,role_en_reconciled,status,status_en,phase
BRGA818,1626,,,1626,6954,Jan,Van Rillaert,"Jan, Van Rillaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1626,,,1626,6132,Jan,Mattheus,"Jan, Mattheus",,,,,,,member,member,member,dean,dean,start
BRGA818,1628,,,1628,3146,Jan,Vaillant,Jan Vaillant,Lille,,painter,male,Netherlands,https://www.wikidata.org/wiki/Q4102462,member,member,painter,dean,dean,start
,,,,,,,,,,,engraver,,,,,,member,,,
,,,,,,,,,,,merchant,,,,,,member,,,
,,,,,,,,,,,etcher,,,,,,member,,,
BRGA818,1628,,,1628,6418,Maerten,Heunis,"Maerten, Heunis",,,,,,,member,member,member,dean,dean,start
BRGA818,1628,,,1628,5869,Cornelis,Van Bronckhorst,"Cornelis, Van Bronckhorst",,,,,,,member,member,member,dean,dean,start
BRGA818,1629,,,1629,3146,Jan,Vaillant,Jan Vaillant,Lille,,painter,male,Netherlands,https://www.wikidata.org/wiki/Q4102462,member,member,painter,dean,dean,start
,,,,,,,,,,,engraver,,,,,,member,,,
,,,,,,,,,,,merchant,,,,,,member,,,
,,,,,,,,,,,etcher,,,,,,member,,,
BRGA818,1629,,,1629,5869,Cornelis,Van Bronckhorst,"Cornelis, Van Bronckhorst",,,,,,,member,member,member,dean,dean,start
BRGA818,1629,,,1629,6418,Maerten,Heunis,"Maerten, Heunis",,,,,,,member,member,member,dean,dean,start
BRGA818,1630,,,1630,6053,Wouter,Jacobs,Jacob Wauters,,,court artist,male,,,member,member,member,dean,dean,start
,,,,,,,,,,,artist,,,,,,member,,,
,,,,,,,,,,,tapestry weaver,,,,,,member,,,
BRGA818,1630,,,1630,2838,Gerard,Van Hoochstadt,"Gerard, Van Hoochstadt",,,,,,,member,member,member,dean,dean,start
BRGA818,1630,,,1630,2926,Jan,De Paege,"Jan, De Paege",,,,,,,member,member,member,dean,dean,start
BRGA818,1631,,,1631,6132,Jan,Mattheus,"Jan, Mattheus",,,,,,,member,member,member,dean,dean,start
BRGA818,1631,,,1631,6954,Jan,Van Rillaert,"Jan, Van Rillaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1631,,,1631,5777,Jan,Claerbodts,"Jan, Claerbodts",,,,,,,member,member,member,dean,dean,start
BRGA818,1633,,,1633,2915,Lucas,De Kemp,"Lucas, De Kemp",,,,,,,member,member,member,dean,dean,start
BRGA818,1633,,,1633,490,Antoon,Sallaert,Antoon Sallaert,City of Brussels,,painter,male,Habsburg Netherlands,https://www.wikidata.org/wiki/Q2339877,member,member,painter,dean,dean,start
,,,,,,,,,,,tapestry designer,,,,,,member,,,
,,,,,,,,,,,drawer,,,,,,member,,,
,,,,,,,,,,,engraver,,,,,,member,,,
BRGA818,1633,,,1633,3150,Carel,Van den Steen,"Carel, Van den Steen",,,,,,,member,member,member,dean,dean,start
BRGA818,1636,,,1636,5777,Jan,Claerbodts,"Jan, Claerbodts",,,,,,,member,member,member,dean,dean,start
